HCHO_Reading,Location,Current_Date,Next_Date,STATION,LATITUDE,LONGITUDE,ELEVATION,PRCP,TAVG,TMAX,TMIN
0.0002507263493088,Colombo Proper,2019-01-26,2019-01-27,CEM00043466,6.9,79.867,7.0,0.0,83,89,77
0.0001973288435314,Nuwara Eliya Proper,2019-01-26,2019-01-27,CE000434730,6.967,80.767,1880.0,0.0,60,68,48
0.0001973288435314,Colombo Proper,2019-01-27,2019-01-28,CEM00043466,6.9,79.867,7.0,0.02,82,87,76
0.0003344381531667,Nuwara Eliya Proper,2019-01-27,2019-01-28,CE000434730,6.967,80.767,1880.0,0.0,60,69,76
0.0002555121674807,Colombo Proper,2019-01-28,2019-01-29,CEM00043466,6.9,79.867,7.0,0.0,80,87,75
0.0001509017772374,Nuwara Eliya Proper,2019-01-28,2019-01-29,CE000434730,6.967,80.767,1880.0,0.0,56,69,47
0.0001509017772374,Colombo Proper,2019-01-29,2019-01-30,CEM00043466,6.9,79.867,7.0,0.0,81,90,73
0.0001841569476548,Nuwara Eliya Proper,2019-01-29,2019-01-30,CE000434730,6.967,80.767,1880.0,0.0,57,69,45
0.000171363573601,Colombo Proper,2019-01-30,2019-01-31,CEM00043466,6.9,79.867,7.0,0.0,83,69,74
3.054402387193301e-05,Nuwara Eliya Proper,2019-01-30,2019-01-31,CE000434730,6.967,80.767,1880.0,0.0,60,92,50
0.0001523802119023,Colombo Proper,2019-01-31,2019-02-01,CEM00043466,6.9,79.867,7.0,0.0,83,94,74
3.6008610393953005e-05,Nuwara Eliya Proper,2019-01-31,2019-02-01,CE000434730,6.967,80.767,1880.0,0.0,59,67,46
0.0003537610010169,Colombo Proper,2019-02-01,2019-02-02,CEM00043466,6.9,79.867,7.0,0.0,84,91,76
7.778077086008773e-05,Nuwara Eliya Proper,2019-02-01,2019-02-02,CE000434730,6.967,80.767,1880.0,0.0,60,69,46
0.0002755728995643,Colombo Proper,2019-02-02,2019-02-03,CEM00043466,6.9,79.867,7.0,0.0,82,90,76
-1.3768205917585874e-06,Nuwara Eliya Proper,2019-02-02,2019-02-03,CE000434730,6.967,80.767,1880.0,0.0,60,69,47
0.0002318846498078,Colombo Proper,2019-02-03,2019-02-04,CEM00043466,6.9,79.867,7.0,0.0,82,69,78
0.0001028843263981,Nuwara Eliya Proper,2019-02-03,2019-02-04,CE000434730,6.967,80.767,1880.0,0.0,63,88,55
0.000103548176412,Colombo Proper,2019-02-04,2019-02-05,CEM00043466,6.9,79.867,7.0,0.0,80,92,76
0.000103548176412,Nuwara Eliya Proper,2019-02-04,2019-02-05,CE000434730,6.967,80.767,1880.0,0.08,60,62,57
0.0003618487680796,Colombo Proper,2019-02-05,2019-02-06,CEM00043466,6.9,79.867,7.0,2.78,80,89,75
8.412867361170815e-05,Nuwara Eliya Proper,2019-02-05,2019-02-06,CE000434730,6.967,80.767,1880.0,0.3,61,67,56
0.0003430663631539,Colombo Proper,2019-02-06,2019-02-07,CEM00043466,6.9,79.867,7.0,0.09,80,67,76
-2.009600759496182e-06,Nuwara Eliya Proper,2019-02-06,2019-02-07,CE000434730,6.967,80.767,1880.0,0.02,60,96,76
0.0002123314538243,Colombo Proper,2019-02-07,2019-02-08,CEM00043466,6.9,79.867,7.0,0.0,82,88,75
8.962996522611401e-05,Nuwara Eliya Proper,2019-02-07,2019-02-08,CE000434730,6.967,80.767,1880.0,0.0,62,70,49
0.0003741742613115,Colombo Proper,2019-02-09,2019-02-10,CEM00043466,6.9,79.867,7.0,0.85,80,87,49
0.0002650819171274,Nuwara Eliya Proper,2019-02-09,2019-02-10,CE000434730,6.967,80.767,1880.0,0.09,62,68,56
0.0002650819171274,Colombo Proper,2019-02-10,2019-02-11,CEM00043466,6.9,79.867,7.0,1.44,82,87,74
